|name              |ra        |dec      |flux_1_100_gev|flux_1_100_gev_error|detection_significance|spectrum_type   |alt_gammaray_name_1|assoc_name                  |analysis_flags|
|4FGL J0116.8+6914 |01 16 48.5|+69 14 29|    2.7427e-10|          7.2463e-11|                6.8038|LogParabola     |3FGL J0116.8+6913  |                            |           000|
|4FGL J0118.3-6008 |01 18 21.3|-60 08 33|    1.6341e-10|          2.6279e-11|                8.3306|PowerLaw        |                   |                            |           000|
|4FGL J0120.1+0505 |01 20 10.9|+05 05 28|    1.0476e-10|          2.8817e-11|                4.0801|PowerLaw        |                   |                            |           000|
|4FGL J0120.2-7944 |01 20 13.7|-79 44 28|    1.2581e-10|          5.4494e-11|                5.1850|PowerLaw        |                   |                            |           004|
|4FGL J0122.4+1034 |01 22 25.6|+10 34 24|    7.4107e-11|          2.5645e-11|                5.2220|PowerLaw        |                   |                            |           000|
|4FGL J0125.3+6820 |01 25 18.6|+68 20 29|    3.2659e-10|          5.4031e-11|                5.9677|PowerLaw        |                   |                            |           001|
|4FGL J0125.9-6303 |01 25 59.7|-63 03 22|    1.2341e-10|          2.4983e-11|                5.7710|PowerLaw        |                   |                            |           000|
|4FGL J0126.3-6746 |01 26 21.6|-67 46 35|    4.6330e-11|          1.7981e-11|                4.0117|PowerLaw        |                   |                            |          4096|
|4FGL J0126.8+2412 |01 26 48.9|+24 12 36|    1.9565e-10|          3.6440e-11|                8.3689|PowerLaw        |                   |                            |           000|
|4FGL J0128.1+7542 |01 28 08.5|+75 42 19|    2.2338e-10|          5.7352e-11|                4.9816|LogParabola     |                   |                            |           000|
|4FGL J0131.7-5346 |01 31 46.0|-53 46 24|    1.9271e-10|          2.8449e-11|                9.2463|PowerLaw        |3FGL J0132.1-5340  |                            |           000|
|4FGL J0132.1-0956 |01 32 07.3|-09 56 19|    1.3883e-10|          3.6885e-11|               10.0843|LogParabola     |                   |                            |           000|
|4FGL J0133.0+5931 |01 33 02.6|+59 31 55|    1.9623e-10|          5.1091e-11|                4.4465|PowerLaw        |3FGL J0133.3+5930  |                            |           000|
|4FGL J0137.3-3239 |01 37 23.5|-32 39 03|    1.0535e-10|          2.6400e-11|                4.3224|PowerLaw        |                   |                            |           000|
|4FGL J0138.5+0300 |01 38 32.3|+03 00 16|    1.1198e-10|          2.9900e-11|                4.3653|PowerLaw        |                   |                            |           000|
|4FGL J0139.5-2228 |01 39 35.3|-22 28 40|    3.3279e-10|          4.2285e-11|               11.6629|LogParabola     |                   |                            |           000|
|4FGL J0140.3+7054 |01 40 20.0|+70 54 15|    1.9992e-10|          4.3349e-11|                6.9519|PowerLaw        |                   |                            |           000|
|4FGL J0140.5-4730 |01 40 32.6|-47 30 17|    1.1303e-10|          2.5343e-11|                5.6380|PowerLaw        |                   |                            |           000|
|4FGL J0142.5+6650 |01 42 30.6|+66 50 03|    3.5031e-10|          1.2453e-10|                4.8600|LogParabola     |                   |                            |           008|
|4FGL J0144.3+5959 |01 44 20.3|+59 59 51|    2.8009e-10|          5.7034e-11|                5.6114|PowerLaw        |                   |                            |           009|
|4FGL J0150.4+4848 |01 50 27.5|+48 48 50|    1.5235e-10|          3.2318e-11|                7.2234|LogParabola     |3FGL J0149.6+4846  |                            |          2052|
|4FGL J0150.9+1230 |01 50 54.5|+12 30 49|    1.1496e-10|          3.0465e-11|                4.1247|PowerLaw        |                   |                            |           000|
|4FGL J0153.3+5416 |01 53 18.2|+54 16 26|    1.8019e-10|          3.8130e-11|                7.2217|PowerLaw        |                   |                            |           000|
